ROUTE,YEAR,MONTH,DAY_TYPE,AVG_RIDES
0,2024,12,Weekday,4222
0,2024,12,Saturday,3066
0,2024,12,Sunday - Holiday,1928
1,2024,12,Weekday,872
100,2024,12,Weekday,347
1001,2024,12,Weekday,459
1001,2024,12,Saturday,738
1001,2024,12,Sunday - Holiday,2604
103,2024,12,Weekday,1383
103,2024,12,Saturday,709
103,2024,12,Sunday - Holiday,713
106,2024,12,Weekday,657
106,2024,12,Saturday,327
106,2024,12,Sunday - Holiday,183
108,2024,12,Weekday,538
11,2024,12,Weekday,969
11,2024,12,Saturday,646
11,2024,12,Sunday - Holiday,383
111,2024,12,Weekday,1792
111,2024,12,Saturday,1134
111,2024,12,Sunday - Holiday,880
111A,2024,12,Weekday,275
111A,2024,12,Saturday,202
111A,2024,12,Sunday - Holiday,161
112,2024,12,Weekday,1057
112,2024,12,Saturday,499
112,2024,12,Sunday - Holiday,316
115,2024,12,Weekday,1857
115,2024,12,Saturday,1061
115,2024,12,Sunday - Holiday,943
119,2024,12,Weekday,2314
119,2024,12,Saturday,2617
119,2024,12,Sunday - Holiday,1968
12,2024,12,Weekday,7404
12,2024,12,Saturday,4933
12,2024,12,Sunday - Holiday,3199
120,2024,12,Weekday,260
121,2024,12,Weekday,330
124,2024,12,Weekday,808
124,2024,12,Saturday,1100
124,2024,12,Sunday - Holiday,542
125,2024,12,Weekday,489
126,2024,12,Weekday,3016
126,2024,12,Saturday,1892
126,2024,12,Sunday - Holiday,1360
134,2024,12,Weekday,1266
135,2024,12,Weekday,1094
136,2024,12,Weekday,684
143,2024,12,Weekday,597
146,2024,12,Weekday,9213
146,2024,12,Saturday,8075
146,2024,12,Sunday - Holiday,5981
147,2024,12,Weekday,7677
147,2024,12,Saturday,6819
147,2024,12,Sunday - Holiday,5242
148,2024,12,Weekday,1199
15,2024,12,Weekday,3913
15,2024,12,Saturday,4043
15,2024,12,Sunday - Holiday,2520
151,2024,12,Weekday,9411
151,2024,12,Saturday,10231
151,2024,12,Sunday - Holiday,7291
152,2024,12,Weekday,6652
152,2024,12,Saturday,3434
152,2024,12,Sunday - Holiday,2208
155,2024,12,Weekday,4470
155,2024,12,Saturday,3525
155,2024,12,Sunday - Holiday,2700
156,2024,12,Weekday,3321
157,2024,12,Weekday,4167
165,2024,12,Weekday,150
169,2024,12,Weekday,122
169,2024,12,Saturday,8
171,2024,12,Weekday,410
171,2024,12,Saturday,166
172,2024,12,Weekday,919
172,2024,12,Saturday,213
172,2024,12,Sunday - Holiday,540
18,2024,12,Weekday,2554
18,2024,12,Saturday,1841
18,2024,12,Sunday - Holiday,1172
192,2024,12,Weekday,370
2,2024,12,Weekday,1438
20,2024,12,Weekday,10132
20,2024,12,Saturday,6839
20,2024,12,Sunday - Holiday,4619
201,2024,12,Weekday,1027
201,2024,12,Saturday,492
206,2024,12,Weekday,320
21,2024,12,Weekday,5906
21,2024,12,Saturday,4824
21,2024,12,Sunday - Holiday,2938
22,2024,12,Weekday,11492
22,2024,12,Saturday,11832
22,2024,12,Sunday - Holiday,7945
24,2024,12,Weekday,1528
26,2024,12,Weekday,2315
28,2024,12,Weekday,3185
28,2024,12,Saturday,1756
28,2024,12,Sunday - Holiday,1254
29,2024,12,Weekday,7208
29,2024,12,Saturday,6524
29,2024,12,Sunday - Holiday,4386
3,2024,12,Weekday,11950
3,2024,12,Saturday,9105
3,2024,12,Sunday - Holiday,6510
30,2024,12,Weekday,2109
30,2024,12,Saturday,1259
30,2024,12,Sunday - Holiday,610
31,2024,12,Weekday,426
34,2024,12,Weekday,2875
34,2024,12,Saturday,1968
34,2024,12,Sunday - Holiday,1540
35,2024,12,Weekday,2851
35,2024,12,Saturday,1843
35,2024,12,Sunday - Holiday,1325
36,2024,12,Weekday,10016
36,2024,12,Saturday,10277
36,2024,12,Sunday - Holiday,7465
37,2024,12,Weekday,1058
39,2024,12,Weekday,1192
39,2024,12,Saturday,497
39,2024,12,Sunday - Holiday,349
4,2024,12,Weekday,9720
4,2024,12,Saturday,8948
4,2024,12,Sunday - Holiday,6048
43,2024,12,Weekday,756
43,2024,12,Saturday,373
43,2024,12,Sunday - Holiday,263
44,2024,12,Weekday,2178
44,2024,12,Saturday,1166
44,2024,12,Sunday - Holiday,798
47,2024,12,Weekday,6879
47,2024,12,Saturday,4831
47,2024,12,Sunday - Holiday,3190
48,2024,12,Weekday,659
49,2024,12,Weekday,10907
49,2024,12,Saturday,10246
49,2024,12,Sunday - Holiday,6963
49B,2024,12,Weekday,3727
49B,2024,12,Saturday,2403
49B,2024,12,Sunday - Holiday,2107
5,2024,12,Weekday,121
5,2024,12,Saturday,158
5,2024,12,Sunday - Holiday,212
50,2024,12,Weekday,7316
50,2024,12,Saturday,4352
50,2024,12,Sunday - Holiday,2835
51,2024,12,Weekday,884
51,2024,12,Saturday,645
51,2024,12,Sunday - Holiday,397
52,2024,12,Weekday,5654
52,2024,12,Saturday,3902
52,2024,12,Sunday - Holiday,2519
52A,2024,12,Weekday,2576
52A,2024,12,Saturday,1478
52A,2024,12,Sunday - Holiday,1000
53,2024,12,Weekday,12451
53,2024,12,Saturday,8748
53,2024,12,Sunday - Holiday,5867
53A,2024,12,Weekday,4602
53A,2024,12,Saturday,2535
53A,2024,12,Sunday - Holiday,1614
54,2024,12,Weekday,6776
54,2024,12,Saturday,5045
54,2024,12,Sunday - Holiday,3907
54A,2024,12,Weekday,465
54B,2024,12,Weekday,1789
54B,2024,12,Saturday,1686
54B,2024,12,Sunday - Holiday,1042
55,2024,12,Weekday,6194
55,2024,12,Saturday,4468
55,2024,12,Sunday - Holiday,3582
55A,2024,12,Weekday,106
55N,2024,12,Weekday,340
55N,2024,12,Saturday,182
56,2024,12,Weekday,4732
56,2024,12,Saturday,3295
56,2024,12,Sunday - Holiday,2307
57,2024,12,Weekday,1349
57,2024,12,Saturday,611
57,2024,12,Sunday - Holiday,346
59,2024,12,Weekday,2163
59,2024,12,Saturday,1155
6,2024,12,Weekday,5228
6,2024,12,Saturday,6262
6,2024,12,Sunday - Holiday,4693
60,2024,12,Weekday,7750
60,2024,12,Saturday,4868
60,2024,12,Sunday - Holiday,3380
62,2024,12,Weekday,6836
62,2024,12,Saturday,5027
62,2024,12,Sunday - Holiday,3667
62H,2024,12,Weekday,620
62H,2024,12,Saturday,361
63,2024,12,Weekday,9348
63,2024,12,Saturday,6349
63,2024,12,Sunday - Holiday,5171
63W,2024,12,Weekday,1027
63W,2024,12,Saturday,565
63W,2024,12,Sunday - Holiday,350
65,2024,12,Weekday,5476
65,2024,12,Saturday,4267
65,2024,12,Sunday - Holiday,2455
66,2024,12,Weekday,15534
66,2024,12,Saturday,12314
66,2024,12,Sunday - Holiday,8056
67,2024,12,Weekday,5313
67,2024,12,Saturday,3830
67,2024,12,Sunday - Holiday,2853
68,2024,12,Weekday,782
68,2024,12,Saturday,429
68,2024,12,Sunday - Holiday,258
7,2024,12,Weekday,3251
70,2024,12,Weekday,6035
70,2024,12,Saturday,3916
70,2024,12,Sunday - Holiday,2797
71,2024,12,Weekday,5891
71,2024,12,Saturday,4686
71,2024,12,Sunday - Holiday,3420
72,2024,12,Weekday,9471
72,2024,12,Saturday,7568
72,2024,12,Sunday - Holiday,5100
73,2024,12,Weekday,3689
73,2024,12,Saturday,2140
73,2024,12,Sunday - Holiday,1406
74,2024,12,Weekday,8076
74,2024,12,Saturday,6037
74,2024,12,Sunday - Holiday,3913
75,2024,12,Weekday,4400
75,2024,12,Saturday,2958
75,2024,12,Sunday - Holiday,2201
76,2024,12,Weekday,7455
76,2024,12,Saturday,5245
76,2024,12,Sunday - Holiday,3091
77,2024,12,Weekday,12411
77,2024,12,Saturday,9177
77,2024,12,Sunday - Holiday,5955
78,2024,12,Weekday,5072
78,2024,12,Saturday,3398
78,2024,12,Sunday - Holiday,2330
79,2024,12,Weekday,13582
79,2024,12,Saturday,10570
79,2024,12,Sunday - Holiday,8275
8,2024,12,Weekday,13428
8,2024,12,Saturday,9260
8,2024,12,Sunday - Holiday,6036
80,2024,12,Weekday,6690
80,2024,12,Saturday,4811
80,2024,12,Sunday - Holiday,3517
81,2024,12,Weekday,8228
81,2024,12,Saturday,6573
81,2024,12,Sunday - Holiday,4738
81W,2024,12,Weekday,1241
81W,2024,12,Saturday,664
81W,2024,12,Sunday - Holiday,428
82,2024,12,Weekday,10832
82,2024,12,Saturday,7240
82,2024,12,Sunday - Holiday,4726
84,2024,12,Weekday,2368
84,2024,12,Saturday,1212
84,2024,12,Sunday - Holiday,819
85,2024,12,Weekday,6476
85,2024,12,Saturday,4452
85,2024,12,Sunday - Holiday,3306
85A,2024,12,Weekday,578
85A,2024,12,Saturday,293
86,2024,12,Weekday,1432
87,2024,12,Weekday,5945
87,2024,12,Saturday,4281
87,2024,12,Sunday - Holiday,3077
88,2024,12,Weekday,800
88,2024,12,Saturday,366
88,2024,12,Sunday - Holiday,255
8A,2024,12,Weekday,1663
8A,2024,12,Saturday,1342
8A,2024,12,Sunday - Holiday,1009
9,2024,12,Weekday,14171
9,2024,12,Saturday,13561
9,2024,12,Sunday - Holiday,9673
90,2024,12,Weekday,2999
90,2024,12,Saturday,2486
90,2024,12,Sunday - Holiday,1529
91,2024,12,Weekday,3594
91,2024,12,Saturday,2259
91,2024,12,Sunday - Holiday,1570
92,2024,12,Weekday,4531
92,2024,12,Saturday,2884
92,2024,12,Sunday - Holiday,2194
93,2024,12,Weekday,2650
93,2024,12,Saturday,1198
94,2024,12,Weekday,8228
94,2024,12,Saturday,4781
94,2024,12,Sunday - Holiday,3286
95,2024,12,Weekday,3994
95,2024,12,Saturday,3254
95,2024,12,Sunday - Holiday,1986
96,2024,12,Weekday,563
97,2024,12,Weekday,1962
97,2024,12,Saturday,1671
97,2024,12,Sunday - Holiday,1015
J14,2024,12,Weekday,6196
J14,2024,12,Saturday,3835
J14,2024,12,Sunday - Holiday,2606
X4,2024,12,Weekday,2337
X49,2024,12,Weekday,4342
X9,2024,12,Weekday,4681
0,2024,11,Weekday,2985
0,2024,11,Saturday,1294
0,2024,11,Sunday - Holiday,1715
1,2024,11,Weekday,1048
100,2024,11,Weekday,423
1001,2024,11,Weekday,514
1001,2024,11,Saturday,806
1001,2024,11,Sunday - Holiday,3213
103,2024,11,Weekday,1518
103,2024,11,Saturday,709
103,2024,11,Sunday - Holiday,584
106,2024,11,Weekday,679
106,2024,11,Saturday,254
106,2024,11,Sunday - Holiday,162
108,2024,11,Weekday,604
11,2024,11,Weekday,1042
11,2024,11,Saturday,646
11,2024,11,Sunday - Holiday,447
111,2024,11,Weekday,2028
111,2024,11,Saturday,1149
111,2024,11,Sunday - Holiday,840
111A,2024,11,Weekday,314
111A,2024,11,Saturday,232
111A,2024,11,Sunday - Holiday,169
112,2024,11,Weekday,1126
112,2024,11,Saturday,581
112,2024,11,Sunday - Holiday,367
115,2024,11,Weekday,2018
115,2024,11,Saturday,1136
115,2024,11,Sunday - Holiday,901
119,2024,11,Weekday,2586
119,2024,11,Saturday,1954
119,2024,11,Sunday - Holiday,1441
12,2024,11,Weekday,8479
12,2024,11,Saturday,5753
12,2024,11,Sunday - Holiday,4019
120,2024,11,Weekday,283
121,2024,11,Weekday,375
124,2024,11,Weekday,811
124,2024,11,Saturday,1001
124,2024,11,Sunday - Holiday,591
125,2024,11,Weekday,551
126,2024,11,Weekday,3551
126,2024,11,Saturday,2202
126,2024,11,Sunday - Holiday,1557
134,2024,11,Weekday,1565
135,2024,11,Weekday,1326
136,2024,11,Weekday,780
143,2024,11,Weekday,700
146,2024,11,Weekday,9681
146,2024,11,Saturday,7836
146,2024,11,Sunday - Holiday,6448
147,2024,11,Weekday,8463
147,2024,11,Saturday,6985
147,2024,11,Sunday - Holiday,5490
148,2024,11,Weekday,1353
15,2024,11,Weekday,4331
15,2024,11,Saturday,3684
15,2024,11,Sunday - Holiday,2879
151,2024,11,Weekday,9579
151,2024,11,Saturday,9657
